Fra;Til;KWH 60 Forbruk
01.05.2019 00:00;01.05.2019 01:00;1.553
01.05.2019 01:00;01.05.2019 02:00;1.551
01.05.2019 02:00;01.05.2019 03:00;1.571
01.05.2019 03:00;01.05.2019 04:00;1.725
01.05.2019 04:00;01.05.2019 05:00;1.76
01.05.2019 05:00;01.05.2019 06:00;1.638
01.05.2019 06:00;01.05.2019 07:00;2.261
01.05.2019 07:00;01.05.2019 08:00;2.597
01.05.2019 08:00;01.05.2019 09:00;2.007
01.05.2019 09:00;01.05.2019 10:00;2.003
01.05.2019 10:00;01.05.2019 11:00;2.191
01.05.2019 11:00;01.05.2019 12:00;2.552
01.05.2019 12:00;01.05.2019 13:00;2.892
01.05.2019 13:00;01.05.2019 14:00;2.464
01.05.2019 14:00;01.05.2019 15:00;2.463
01.05.2019 15:00;01.05.2019 16:00;2.621
01.05.2019 16:00;01.05.2019 17:00;3.224
01.05.2019 17:00;01.05.2019 18:00;2.656
01.05.2019 18:00;01.05.2019 19:00;2.13
01.05.2019 19:00;01.05.2019 20:00;1.913
01.05.2019 20:00;01.05.2019 21:00;1.893
01.05.2019 21:00;01.05.2019 22:00;1.795
01.05.2019 22:00;01.05.2019 23:00;2.659
01.05.2019 23:00;02.05.2019 00:00;2.233
02.05.2019 00:00;02.05.2019 01:00;1.975
02.05.2019 01:00;02.05.2019 02:00;1.879
02.05.2019 02:00;02.05.2019 03:00;1.987
02.05.2019 03:00;02.05.2019 04:00;1.86
02.05.2019 04:00;02.05.2019 05:00;2.135
02.05.2019 05:00;02.05.2019 06:00;2.668
02.05.2019 06:00;02.05.2019 07:00;3.217
02.05.2019 07:00;02.05.2019 08:00;3.162
02.05.2019 08:00;02.05.2019 09:00;2.504
02.05.2019 09:00;02.05.2019 10:00;2.15
02.05.2019 10:00;02.05.2019 11:00;2.188
02.05.2019 11:00;02.05.2019 12:00;2.172
02.05.2019 12:00;02.05.2019 13:00;2.27
02.05.2019 13:00;02.05.2019 14:00;2.331
02.05.2019 14:00;02.05.2019 15:00;2.168
02.05.2019 15:00;02.05.2019 16:00;2.205
02.05.2019 16:00;02.05.2019 17:00;2.16
02.05.2019 17:00;02.05.2019 18:00;2.882
02.05.2019 18:00;02.05.2019 19:00;3.274
02.05.2019 19:00;02.05.2019 20:00;3.058
02.05.2019 20:00;02.05.2019 21:00;2.389
02.05.2019 21:00;02.05.2019 22:00;2.323
02.05.2019 22:00;02.05.2019 23:00;2.522
02.05.2019 23:00;03.05.2019 00:00;2.66
03.05.2019 00:00;03.05.2019 01:00;2.438
03.05.2019 01:00;03.05.2019 02:00;2.498
03.05.2019 02:00;03.05.2019 03:00;2.672
03.05.2019 03:00;03.05.2019 04:00;2.744
03.05.2019 04:00;03.05.2019 05:00;2.637
03.05.2019 05:00;03.05.2019 06:00;2.617
03.05.2019 06:00;03.05.2019 07:00;4.204
03.05.2019 07:00;03.05.2019 08:00;4.156
03.05.2019 08:00;03.05.2019 09:00;4.127
03.05.2019 09:00;03.05.2019 10:00;3.535
03.05.2019 10:00;03.05.2019 11:00;2.731
03.05.2019 11:00;03.05.2019 12:00;2.443
03.05.2019 12:00;03.05.2019 13:00;2.121
03.05.2019 13:00;03.05.2019 14:00;2.101
03.05.2019 14:00;03.05.2019 15:00;2.39
03.05.2019 15:00;03.05.2019 16:00;2.8
