Fra;Til;KWH 60 Forbruk
03.05.2019 16:00;03.05.2019 17:00;2.61
03.05.2019 17:00;03.05.2019 18:00;4.324
03.05.2019 18:00;03.05.2019 19:00;4.681
03.05.2019 19:00;03.05.2019 20:00;4.158
03.05.2019 20:00;03.05.2019 21:00;2.695
03.05.2019 21:00;03.05.2019 22:00;5.266
03.05.2019 22:00;03.05.2019 23:00;6.895
03.05.2019 23:00;04.05.2019 00:00;6.48
04.05.2019 00:00;04.05.2019 01:00;2.471
04.05.2019 01:00;04.05.2019 02:00;2.612
04.05.2019 02:00;04.05.2019 03:00;6.959
04.05.2019 03:00;04.05.2019 04:00;6.625
04.05.2019 04:00;04.05.2019 05:00;2.781
04.05.2019 05:00;04.05.2019 06:00;3.089
04.05.2019 06:00;04.05.2019 07:00;3.374
04.05.2019 07:00;04.05.2019 08:00;3.153
04.05.2019 08:00;04.05.2019 09:00;3.445
04.05.2019 09:00;04.05.2019 10:00;3.137
04.05.2019 10:00;04.05.2019 11:00;2.497
04.05.2019 11:00;04.05.2019 12:00;3.094
04.05.2019 12:00;04.05.2019 13:00;3.617
04.05.2019 13:00;04.05.2019 14:00;3.369
04.05.2019 14:00;04.05.2019 15:00;4.019
04.05.2019 15:00;04.05.2019 16:00;4.461
04.05.2019 16:00;04.05.2019 17:00;3.792
04.05.2019 17:00;04.05.2019 18:00;3.232
04.05.2019 18:00;04.05.2019 19:00;5.163
04.05.2019 19:00;04.05.2019 20:00;4.744
04.05.2019 20:00;04.05.2019 21:00;3.948
04.05.2019 21:00;04.05.2019 22:00;3.154
04.05.2019 22:00;04.05.2019 23:00;3.019
04.05.2019 23:00;05.05.2019 00:00;2.659
05.05.2019 00:00;05.05.2019 01:00;2.846
05.05.2019 01:00;05.05.2019 02:00;2.519
05.05.2019 02:00;05.05.2019 03:00;2.662
05.05.2019 03:00;05.05.2019 04:00;2.599
05.05.2019 04:00;05.05.2019 05:00;2.619
05.05.2019 05:00;05.05.2019 06:00;3.563
05.05.2019 06:00;05.05.2019 07:00;3.862
05.05.2019 07:00;05.05.2019 08:00;4.179
05.05.2019 08:00;05.05.2019 09:00;4.303
05.05.2019 09:00;05.05.2019 10:00;4.379
05.05.2019 10:00;05.05.2019 11:00;4.555
05.05.2019 11:00;05.05.2019 12:00;3.672
05.05.2019 12:00;05.05.2019 13:00;2.796
05.05.2019 13:00;05.05.2019 14:00;2.666
05.05.2019 14:00;05.05.2019 15:00;2.467
05.05.2019 15:00;05.05.2019 16:00;2.476
05.05.2019 16:00;05.05.2019 17:00;2.653
05.05.2019 17:00;05.05.2019 18:00;2.461
05.05.2019 18:00;05.05.2019 19:00;2.704
05.05.2019 19:00;05.05.2019 20:00;3.365
05.05.2019 20:00;05.05.2019 21:00;3.505
05.05.2019 21:00;05.05.2019 22:00;4.182
05.05.2019 22:00;05.05.2019 23:00;7.061
05.05.2019 23:00;06.05.2019 00:00;6.803
06.05.2019 00:00;06.05.2019 01:00;6.726
06.05.2019 01:00;06.05.2019 02:00;6.741
06.05.2019 02:00;06.05.2019 03:00;6.82
06.05.2019 03:00;06.05.2019 04:00;6.883
06.05.2019 04:00;06.05.2019 05:00;6.919
06.05.2019 05:00;06.05.2019 06:00;5.923
06.05.2019 06:00;06.05.2019 07:00;4.245
06.05.2019 07:00;06.05.2019 08:00;3.852
06.05.2019 08:00;06.05.2019 09:00;3.408
06.05.2019 09:00;06.05.2019 10:00;2.656
06.05.2019 10:00;06.05.2019 11:00;2.94
06.05.2019 11:00;06.05.2019 12:00;3.113
06.05.2019 12:00;06.05.2019 13:00;3.004
06.05.2019 13:00;06.05.2019 14:00;2.861
06.05.2019 14:00;06.05.2019 15:00;2.73
06.05.2019 15:00;06.05.2019 16:00;2.873
06.05.2019 16:00;06.05.2019 17:00;3.645
06.05.2019 17:00;06.05.2019 18:00;3.744
06.05.2019 18:00;06.05.2019 19:00;4.946
06.05.2019 19:00;06.05.2019 20:00;3.57
06.05.2019 20:00;06.05.2019 21:00;2.915
06.05.2019 21:00;06.05.2019 22:00;2.969
06.05.2019 22:00;06.05.2019 23:00;3.463
06.05.2019 23:00;07.05.2019 00:00;2.703
07.05.2019 00:00;07.05.2019 01:00;3.283
07.05.2019 01:00;07.05.2019 02:00;3.416
07.05.2019 02:00;07.05.2019 03:00;3.803
07.05.2019 03:00;07.05.2019 04:00;3.57
07.05.2019 04:00;07.05.2019 05:00;3.393
07.05.2019 05:00;07.05.2019 06:00;3.636
07.05.2019 06:00;07.05.2019 07:00;3.993
07.05.2019 07:00;07.05.2019 08:00;3.885
07.05.2019 08:00;07.05.2019 09:00;4.283
07.05.2019 09:00;07.05.2019 10:00;4.366
07.05.2019 10:00;07.05.2019 11:00;4.09
07.05.2019 11:00;07.05.2019 12:00;3.761
07.05.2019 12:00;07.05.2019 13:00;3.624
07.05.2019 13:00;07.05.2019 14:00;2.767
07.05.2019 14:00;07.05.2019 15:00;2.404
07.05.2019 15:00;07.05.2019 16:00;2.29
07.05.2019 16:00;07.05.2019 17:00;2.753
07.05.2019 17:00;07.05.2019 18:00;3.195
07.05.2019 18:00;07.05.2019 19:00;2.741
07.05.2019 19:00;07.05.2019 20:00;3.485
07.05.2019 20:00;07.05.2019 21:00;3.471
07.05.2019 21:00;07.05.2019 22:00;3.115
07.05.2019 22:00;07.05.2019 23:00;2.884
07.05.2019 23:00;08.05.2019 00:00;2.444
08.05.2019 00:00;08.05.2019 01:00;3.332
08.05.2019 01:00;08.05.2019 02:00;2.855
08.05.2019 02:00;08.05.2019 03:00;2.666
08.05.2019 03:00;08.05.2019 04:00;2.589
08.05.2019 04:00;08.05.2019 05:00;2.578
08.05.2019 05:00;08.05.2019 06:00;2.956
08.05.2019 06:00;08.05.2019 07:00;4.594
08.05.2019 07:00;08.05.2019 08:00;4.483
08.05.2019 08:00;08.05.2019 09:00;4.254
08.05.2019 09:00;08.05.2019 10:00;3.626
08.05.2019 10:00;08.05.2019 11:00;3.529
08.05.2019 11:00;08.05.2019 12:00;3.44
08.05.2019 12:00;08.05.2019 13:00;2.732
08.05.2019 13:00;08.05.2019 14:00;2.46
08.05.2019 14:00;08.05.2019 15:00;2.427
08.05.2019 15:00;08.05.2019 16:00;2.427
08.05.2019 16:00;08.05.2019 17:00;2.522
08.05.2019 17:00;08.05.2019 18:00;2.774
08.05.2019 18:00;08.05.2019 19:00;4.186
08.05.2019 19:00;08.05.2019 20:00;3.729
08.05.2019 20:00;08.05.2019 21:00;3.799
08.05.2019 21:00;08.05.2019 22:00;3.417
08.05.2019 22:00;08.05.2019 23:00;2.648
08.05.2019 23:00;09.05.2019 00:00;2.761
09.05.2019 00:00;09.05.2019 01:00;3.442
09.05.2019 01:00;09.05.2019 02:00;2.909
09.05.2019 02:00;09.05.2019 03:00;2.783
09.05.2019 03:00;09.05.2019 04:00;3.05
09.05.2019 04:00;09.05.2019 05:00;2.897
09.05.2019 05:00;09.05.2019 06:00;2.659
09.05.2019 06:00;09.05.2019 07:00;3.691
09.05.2019 07:00;09.05.2019 08:00;4.751
09.05.2019 08:00;09.05.2019 09:00;4.607
09.05.2019 09:00;09.05.2019 10:00;4.008
09.05.2019 10:00;09.05.2019 11:00;3.719
09.05.2019 11:00;09.05.2019 12:00;3.648
09.05.2019 12:00;09.05.2019 13:00;3.18
09.05.2019 13:00;09.05.2019 14:00;2.939
09.05.2019 14:00;09.05.2019 15:00;3.023
09.05.2019 15:00;09.05.2019 16:00;3.025
09.05.2019 16:00;09.05.2019 17:00;3.338
09.05.2019 17:00;09.05.2019 18:00;6.188
09.05.2019 18:00;09.05.2019 19:00;4.609
09.05.2019 19:00;09.05.2019 20:00;4.31
09.05.2019 20:00;09.05.2019 21:00;3.395
09.05.2019 21:00;09.05.2019 22:00;5.586
09.05.2019 22:00;09.05.2019 23:00;4.889
09.05.2019 23:00;10.05.2019 00:00;3.393
10.05.2019 00:00;10.05.2019 01:00;2.289
10.05.2019 01:00;10.05.2019 02:00;2.278
10.05.2019 02:00;10.05.2019 03:00;2.311
10.05.2019 03:00;10.05.2019 04:00;2.114
10.05.2019 04:00;10.05.2019 05:00;2.278
10.05.2019 05:00;10.05.2019 06:00;2.294
10.05.2019 06:00;10.05.2019 07:00;3.388
10.05.2019 07:00;10.05.2019 08:00;4.752
10.05.2019 08:00;10.05.2019 09:00;4.53
10.05.2019 09:00;10.05.2019 10:00;4.201
10.05.2019 10:00;10.05.2019 11:00;4.252
10.05.2019 11:00;10.05.2019 12:00;4.068
10.05.2019 12:00;10.05.2019 13:00;4.046
10.05.2019 13:00;10.05.2019 14:00;4.03
10.05.2019 14:00;10.05.2019 15:00;3.601
10.05.2019 15:00;10.05.2019 16:00;6.153
10.05.2019 16:00;10.05.2019 17:00;7.023
10.05.2019 17:00;10.05.2019 18:00;6.427
10.05.2019 18:00;10.05.2019 19:00;6.252
10.05.2019 19:00;10.05.2019 20:00;6.303
10.05.2019 20:00;10.05.2019 21:00;4.342
10.05.2019 21:00;10.05.2019 22:00;3.09
10.05.2019 22:00;10.05.2019 23:00;2.948
10.05.2019 23:00;11.05.2019 00:00;2.743
11.05.2019 00:00;11.05.2019 01:00;2.853
11.05.2019 01:00;11.05.2019 02:00;2.336
11.05.2019 02:00;11.05.2019 03:00;2.099
11.05.2019 03:00;11.05.2019 04:00;2.265
11.05.2019 04:00;11.05.2019 05:00;2.257
11.05.2019 05:00;11.05.2019 06:00;2.116
11.05.2019 06:00;11.05.2019 07:00;2.718
11.05.2019 07:00;11.05.2019 08:00;2.606
11.05.2019 08:00;11.05.2019 09:00;2.546
11.05.2019 09:00;11.05.2019 10:00;2.601
11.05.2019 10:00;11.05.2019 11:00;2.592
11.05.2019 11:00;11.05.2019 12:00;2.316
11.05.2019 12:00;11.05.2019 13:00;2.97
11.05.2019 13:00;11.05.2019 14:00;3.106
11.05.2019 14:00;11.05.2019 15:00;2.543
11.05.2019 15:00;11.05.2019 16:00;2.404
11.05.2019 16:00;11.05.2019 17:00;2.481
11.05.2019 17:00;11.05.2019 18:00;2.31
11.05.2019 18:00;11.05.2019 19:00;5.535
11.05.2019 19:00;11.05.2019 20:00;6.045
11.05.2019 20:00;11.05.2019 21:00;5.31
11.05.2019 21:00;11.05.2019 22:00;4.962
11.05.2019 22:00;11.05.2019 23:00;3.856
11.05.2019 23:00;12.05.2019 00:00;3.353
12.05.2019 00:00;12.05.2019 01:00;2.698
12.05.2019 01:00;12.05.2019 02:00;2.142
12.05.2019 02:00;12.05.2019 03:00;2.171
12.05.2019 03:00;12.05.2019 04:00;2.305
12.05.2019 04:00;12.05.2019 05:00;2.343
12.05.2019 05:00;12.05.2019 06:00;2.396
12.05.2019 06:00;12.05.2019 07:00;2.867
12.05.2019 07:00;12.05.2019 08:00;3.334
12.05.2019 08:00;12.05.2019 09:00;3.363
12.05.2019 09:00;12.05.2019 10:00;3.753
12.05.2019 10:00;12.05.2019 11:00;4.405
12.05.2019 11:00;12.05.2019 12:00;3.504
12.05.2019 12:00;12.05.2019 13:00;4.028
12.05.2019 13:00;12.05.2019 14:00;3.543
12.05.2019 14:00;12.05.2019 15:00;4.138
12.05.2019 15:00;12.05.2019 16:00;3.698
12.05.2019 16:00;12.05.2019 17:00;3.559
12.05.2019 17:00;12.05.2019 18:00;3.367
12.05.2019 18:00;12.05.2019 19:00;2.964
12.05.2019 19:00;12.05.2019 20:00;3.082
12.05.2019 20:00;12.05.2019 21:00;3.165
12.05.2019 21:00;12.05.2019 22:00;3.228
12.05.2019 22:00;12.05.2019 23:00;3.452
12.05.2019 23:00;13.05.2019 00:00;3.406
13.05.2019 00:00;13.05.2019 01:00;3.088
13.05.2019 01:00;13.05.2019 02:00;2.318
13.05.2019 02:00;13.05.2019 03:00;2.602
13.05.2019 03:00;13.05.2019 04:00;2.575
13.05.2019 04:00;13.05.2019 05:00;2.401
13.05.2019 05:00;13.05.2019 06:00;2.39
13.05.2019 06:00;13.05.2019 07:00;4.506
13.05.2019 07:00;13.05.2019 08:00;4.368
13.05.2019 08:00;13.05.2019 09:00;4.668
13.05.2019 09:00;13.05.2019 10:00;3.848
13.05.2019 10:00;13.05.2019 11:00;3.541
13.05.2019 11:00;13.05.2019 12:00;3.31
13.05.2019 12:00;13.05.2019 13:00;3.582
13.05.2019 13:00;13.05.2019 14:00;3.736
13.05.2019 14:00;13.05.2019 15:00;3.736
13.05.2019 15:00;13.05.2019 16:00;4.784
13.05.2019 16:00;13.05.2019 17:00;7.289
13.05.2019 17:00;13.05.2019 18:00;6.657
13.05.2019 18:00;13.05.2019 19:00;7.061
13.05.2019 19:00;13.05.2019 20:00;4.646
13.05.2019 20:00;13.05.2019 21:00;4.657
13.05.2019 21:00;13.05.2019 22:00;3.207
13.05.2019 22:00;13.05.2019 23:00;3.414
13.05.2019 23:00;14.05.2019 00:00;3.039
14.05.2019 00:00;14.05.2019 01:00;3.091
14.05.2019 01:00;14.05.2019 02:00;2.926
14.05.2019 02:00;14.05.2019 03:00;3.002
14.05.2019 03:00;14.05.2019 04:00;3.136
14.05.2019 04:00;14.05.2019 05:00;3.096
14.05.2019 05:00;14.05.2019 06:00;2.748
14.05.2019 06:00;14.05.2019 07:00;2.805
14.05.2019 07:00;14.05.2019 08:00;3.918
14.05.2019 08:00;14.05.2019 09:00;3.388
14.05.2019 09:00;14.05.2019 10:00;2.947
14.05.2019 10:00;14.05.2019 11:00;2.843
14.05.2019 11:00;14.05.2019 12:00;2.888
14.05.2019 12:00;14.05.2019 13:00;2.765
14.05.2019 13:00;14.05.2019 14:00;2.617
14.05.2019 14:00;14.05.2019 15:00;2.496
14.05.2019 15:00;14.05.2019 16:00;1.902
14.05.2019 16:00;14.05.2019 17:00;1.824
14.05.2019 17:00;14.05.2019 18:00;1.805
14.05.2019 18:00;14.05.2019 19:00;2.065
14.05.2019 19:00;14.05.2019 20:00;2.005
14.05.2019 20:00;14.05.2019 21:00;4.363
14.05.2019 21:00;14.05.2019 22:00;3.103
14.05.2019 22:00;14.05.2019 23:00;2.982
14.05.2019 23:00;15.05.2019 00:00;1.675
15.05.2019 00:00;15.05.2019 01:00;1.77
15.05.2019 01:00;15.05.2019 02:00;1.833
15.05.2019 02:00;15.05.2019 03:00;1.834
15.05.2019 03:00;15.05.2019 04:00;2.001
15.05.2019 04:00;15.05.2019 05:00;2.072
15.05.2019 05:00;15.05.2019 06:00;2.141
15.05.2019 06:00;15.05.2019 07:00;3.276
15.05.2019 07:00;15.05.2019 08:00;3.688
15.05.2019 08:00;15.05.2019 09:00;3.559
15.05.2019 09:00;15.05.2019 10:00;3.234
15.05.2019 10:00;15.05.2019 11:00;2.705
15.05.2019 11:00;15.05.2019 12:00;2.667
15.05.2019 12:00;15.05.2019 13:00;2.361
15.05.2019 13:00;15.05.2019 14:00;2.96
15.05.2019 14:00;15.05.2019 15:00;2.805
15.05.2019 15:00;15.05.2019 16:00;2.706
15.05.2019 16:00;15.05.2019 17:00;4.352
15.05.2019 17:00;15.05.2019 18:00;5.623
15.05.2019 18:00;15.05.2019 19:00;5.993
15.05.2019 19:00;15.05.2019 20:00;3.217
15.05.2019 20:00;15.05.2019 21:00;2.566
15.05.2019 21:00;15.05.2019 22:00;2.076
15.05.2019 22:00;15.05.2019 23:00;1.866
15.05.2019 23:00;16.05.2019 00:00;1.905
16.05.2019 00:00;16.05.2019 01:00;1.699
16.05.2019 01:00;16.05.2019 02:00;1.811
16.05.2019 02:00;16.05.2019 03:00;1.965
16.05.2019 03:00;16.05.2019 04:00;2.142
16.05.2019 04:00;16.05.2019 05:00;2.836
16.05.2019 05:00;16.05.2019 06:00;2.335
16.05.2019 06:00;16.05.2019 07:00;2.92
16.05.2019 07:00;16.05.2019 08:00;2.903
16.05.2019 08:00;16.05.2019 09:00;2.628
16.05.2019 09:00;16.05.2019 10:00;2.644
16.05.2019 10:00;16.05.2019 11:00;2.763
16.05.2019 11:00;16.05.2019 12:00;2.591
16.05.2019 12:00;16.05.2019 13:00;2.641
16.05.2019 13:00;16.05.2019 14:00;2.643
16.05.2019 14:00;16.05.2019 15:00;2.518
16.05.2019 15:00;16.05.2019 16:00;2.762
16.05.2019 16:00;16.05.2019 17:00;2.7
16.05.2019 17:00;16.05.2019 18:00;2.063
16.05.2019 18:00;16.05.2019 19:00;2.626
16.05.2019 19:00;16.05.2019 20:00;6.036
16.05.2019 20:00;16.05.2019 21:00;7.148
16.05.2019 21:00;16.05.2019 22:00;6.617
16.05.2019 22:00;16.05.2019 23:00;7.08
16.05.2019 23:00;17.05.2019 00:00;6.53
17.05.2019 00:00;17.05.2019 01:00;5.382
17.05.2019 01:00;17.05.2019 02:00;5.144
17.05.2019 02:00;17.05.2019 03:00;2.225
17.05.2019 03:00;17.05.2019 04:00;1.748
17.05.2019 04:00;17.05.2019 05:00;1.794
17.05.2019 05:00;17.05.2019 06:00;2.14
17.05.2019 06:00;17.05.2019 07:00;2.838
17.05.2019 07:00;17.05.2019 08:00;2.945
17.05.2019 08:00;17.05.2019 09:00;3.331
17.05.2019 09:00;17.05.2019 10:00;2.468
17.05.2019 10:00;17.05.2019 11:00;2.681
17.05.2019 11:00;17.05.2019 12:00;2.628
17.05.2019 12:00;17.05.2019 13:00;2.18
17.05.2019 13:00;17.05.2019 14:00;2.337
17.05.2019 14:00;17.05.2019 15:00;2.302
17.05.2019 15:00;17.05.2019 16:00;1.997
17.05.2019 16:00;17.05.2019 17:00;1.199
17.05.2019 17:00;17.05.2019 18:00;1.62
17.05.2019 18:00;17.05.2019 19:00;1.408
17.05.2019 19:00;17.05.2019 20:00;1.414
17.05.2019 20:00;17.05.2019 21:00;1.501
17.05.2019 21:00;17.05.2019 22:00;6.777
17.05.2019 22:00;17.05.2019 23:00;6.4
17.05.2019 23:00;18.05.2019 00:00;5.149
18.05.2019 00:00;18.05.2019 01:00;5.102
18.05.2019 01:00;18.05.2019 02:00;5.039
18.05.2019 02:00;18.05.2019 03:00;2.294
18.05.2019 03:00;18.05.2019 04:00;1.271
18.05.2019 04:00;18.05.2019 05:00;1.496
18.05.2019 05:00;18.05.2019 06:00;1.437
18.05.2019 06:00;18.05.2019 07:00;1.467
18.05.2019 07:00;18.05.2019 08:00;3.076
18.05.2019 08:00;18.05.2019 09:00;2.349
18.05.2019 09:00;18.05.2019 10:00;2.577
18.05.2019 10:00;18.05.2019 11:00;3.202
18.05.2019 11:00;18.05.2019 12:00;3.001
18.05.2019 12:00;18.05.2019 13:00;2.401
18.05.2019 13:00;18.05.2019 14:00;1.827
18.05.2019 14:00;18.05.2019 15:00;1.371
18.05.2019 15:00;18.05.2019 16:00;1.268
18.05.2019 16:00;18.05.2019 17:00;5.252
18.05.2019 17:00;18.05.2019 18:00;6.373
18.05.2019 18:00;18.05.2019 19:00;7.009
18.05.2019 19:00;18.05.2019 20:00;3.531
18.05.2019 20:00;18.05.2019 21:00;2.765
18.05.2019 21:00;18.05.2019 22:00;2.244
18.05.2019 22:00;18.05.2019 23:00;2.165
18.05.2019 23:00;19.05.2019 00:00;2.223
19.05.2019 00:00;19.05.2019 01:00;2.334
19.05.2019 01:00;19.05.2019 02:00;2.074
19.05.2019 02:00;19.05.2019 03:00;2.104
19.05.2019 03:00;19.05.2019 04:00;1.727
19.05.2019 04:00;19.05.2019 05:00;1.173
19.05.2019 05:00;19.05.2019 06:00;1.22
19.05.2019 06:00;19.05.2019 07:00;1.157
19.05.2019 07:00;19.05.2019 08:00;1.357
19.05.2019 08:00;19.05.2019 09:00;1.606
19.05.2019 09:00;19.05.2019 10:00;1.42
19.05.2019 10:00;19.05.2019 11:00;2.001
19.05.2019 11:00;19.05.2019 12:00;1.653
19.05.2019 12:00;19.05.2019 13:00;1.353
19.05.2019 13:00;19.05.2019 14:00;3.147
19.05.2019 14:00;19.05.2019 15:00;3.245
19.05.2019 15:00;19.05.2019 16:00;2.972
19.05.2019 16:00;19.05.2019 17:00;2.256
19.05.2019 17:00;19.05.2019 18:00;2.258
19.05.2019 18:00;19.05.2019 19:00;2.387
19.05.2019 19:00;19.05.2019 20:00;2.543
19.05.2019 20:00;19.05.2019 21:00;2.437
19.05.2019 21:00;19.05.2019 22:00;2.248
19.05.2019 22:00;19.05.2019 23:00;2.336
19.05.2019 23:00;20.05.2019 00:00;1.995
20.05.2019 00:00;20.05.2019 01:00;1.938
20.05.2019 01:00;20.05.2019 02:00;2.139
20.05.2019 02:00;20.05.2019 03:00;2.202
20.05.2019 03:00;20.05.2019 04:00;2.162
20.05.2019 04:00;20.05.2019 05:00;1.479
20.05.2019 05:00;20.05.2019 06:00;1.603
20.05.2019 06:00;20.05.2019 07:00;2.154
20.05.2019 07:00;20.05.2019 08:00;2.018
20.05.2019 08:00;20.05.2019 09:00;1.907
20.05.2019 09:00;20.05.2019 10:00;1.998
20.05.2019 10:00;20.05.2019 11:00;1.932
20.05.2019 11:00;20.05.2019 12:00;1.716
20.05.2019 12:00;20.05.2019 13:00;0.954
20.05.2019 13:00;20.05.2019 14:00;0.917
20.05.2019 14:00;20.05.2019 15:00;1.017
20.05.2019 15:00;20.05.2019 16:00;1.122
20.05.2019 16:00;20.05.2019 17:00;1.142
20.05.2019 17:00;20.05.2019 18:00;1.295
20.05.2019 18:00;20.05.2019 19:00;1.754
20.05.2019 19:00;20.05.2019 20:00;2.165
20.05.2019 20:00;20.05.2019 21:00;2.367
20.05.2019 21:00;20.05.2019 22:00;1.548
20.05.2019 22:00;20.05.2019 23:00;1.536
20.05.2019 23:00;21.05.2019 00:00;1.279
21.05.2019 00:00;21.05.2019 01:00;0.87
21.05.2019 01:00;21.05.2019 02:00;1.116
21.05.2019 02:00;21.05.2019 03:00;1.025
21.05.2019 03:00;21.05.2019 04:00;1.365
21.05.2019 04:00;21.05.2019 05:00;1.991
21.05.2019 05:00;21.05.2019 06:00;1.265
21.05.2019 06:00;21.05.2019 07:00;1.955
21.05.2019 07:00;21.05.2019 08:00;1.868
21.05.2019 08:00;21.05.2019 09:00;1.897
21.05.2019 09:00;21.05.2019 10:00;1.89
21.05.2019 10:00;21.05.2019 11:00;1.608
21.05.2019 11:00;21.05.2019 12:00;0.961
21.05.2019 12:00;21.05.2019 13:00;1.067
21.05.2019 13:00;21.05.2019 14:00;1.135
21.05.2019 14:00;21.05.2019 15:00;0.988
21.05.2019 15:00;21.05.2019 16:00;0.948
21.05.2019 16:00;21.05.2019 17:00;1.523
21.05.2019 17:00;21.05.2019 18:00;0.997
21.05.2019 18:00;21.05.2019 19:00;1.707
21.05.2019 19:00;21.05.2019 20:00;2.173
21.05.2019 20:00;21.05.2019 21:00;2.336
21.05.2019 21:00;21.05.2019 22:00;2.213
21.05.2019 22:00;21.05.2019 23:00;2.137
21.05.2019 23:00;22.05.2019 00:00;1.915
22.05.2019 00:00;22.05.2019 01:00;0.807
22.05.2019 01:00;22.05.2019 02:00;1.035
22.05.2019 02:00;22.05.2019 03:00;0.927
22.05.2019 03:00;22.05.2019 04:00;0.748
22.05.2019 04:00;22.05.2019 05:00;1.128
22.05.2019 05:00;22.05.2019 06:00;0.98
22.05.2019 06:00;22.05.2019 07:00;1.956
22.05.2019 07:00;22.05.2019 08:00;2.0
22.05.2019 08:00;22.05.2019 09:00;1.747
22.05.2019 09:00;22.05.2019 10:00;1.933
22.05.2019 10:00;22.05.2019 11:00;1.822
22.05.2019 11:00;22.05.2019 12:00;1.886
22.05.2019 12:00;22.05.2019 13:00;1.179
22.05.2019 13:00;22.05.2019 14:00;0.889
22.05.2019 14:00;22.05.2019 15:00;0.818
22.05.2019 15:00;22.05.2019 16:00;1.188
22.05.2019 16:00;22.05.2019 17:00;0.931
22.05.2019 17:00;22.05.2019 18:00;1.402
22.05.2019 18:00;22.05.2019 19:00;1.1
22.05.2019 19:00;22.05.2019 20:00;1.81
22.05.2019 20:00;22.05.2019 21:00;2.422
22.05.2019 21:00;22.05.2019 22:00;2.946
22.05.2019 22:00;22.05.2019 23:00;1.56
22.05.2019 23:00;23.05.2019 00:00;1.287
23.05.2019 00:00;23.05.2019 01:00;0.929
23.05.2019 01:00;23.05.2019 02:00;1.129
23.05.2019 02:00;23.05.2019 03:00;0.926
23.05.2019 03:00;23.05.2019 04:00;0.805
23.05.2019 04:00;23.05.2019 05:00;1.094
23.05.2019 05:00;23.05.2019 06:00;1.633
23.05.2019 06:00;23.05.2019 07:00;2.156
23.05.2019 07:00;23.05.2019 08:00;1.764
