Fra;Til;KWH 60 Forbruk
01.07.2019 00:00;01.07.2019 01:00;1.152
01.07.2019 01:00;01.07.2019 02:00;0.91
01.07.2019 02:00;01.07.2019 03:00;0.773
01.07.2019 03:00;01.07.2019 04:00;0.766
01.07.2019 04:00;01.07.2019 05:00;0.898
01.07.2019 05:00;01.07.2019 06:00;0.628
01.07.2019 06:00;01.07.2019 07:00;1.76
01.07.2019 07:00;01.07.2019 08:00;2.58
01.07.2019 08:00;01.07.2019 09:00;2.026
01.07.2019 09:00;01.07.2019 10:00;2.774
01.07.2019 10:00;01.07.2019 11:00;1.746
01.07.2019 11:00;01.07.2019 12:00;1.089
01.07.2019 12:00;01.07.2019 13:00;0.884
01.07.2019 13:00;01.07.2019 14:00;0.816
01.07.2019 14:00;01.07.2019 15:00;0.847
01.07.2019 15:00;01.07.2019 16:00;1.926
01.07.2019 16:00;01.07.2019 17:00;1.916
01.07.2019 17:00;01.07.2019 18:00;1.706
01.07.2019 18:00;01.07.2019 19:00;1.63
01.07.2019 19:00;01.07.2019 20:00;0.755
01.07.2019 20:00;01.07.2019 21:00;1.009
01.07.2019 21:00;01.07.2019 22:00;2.393
01.07.2019 22:00;01.07.2019 23:00;1.837
01.07.2019 23:00;02.07.2019 00:00;1.841
02.07.2019 00:00;02.07.2019 01:00;1.733
02.07.2019 01:00;02.07.2019 02:00;1.59
02.07.2019 02:00;02.07.2019 03:00;1.693
02.07.2019 03:00;02.07.2019 04:00;0.862
02.07.2019 04:00;02.07.2019 05:00;0.856
02.07.2019 05:00;02.07.2019 06:00;0.766
02.07.2019 06:00;02.07.2019 07:00;1.048
02.07.2019 07:00;02.07.2019 08:00;1.943
02.07.2019 08:00;02.07.2019 09:00;2.093
02.07.2019 09:00;02.07.2019 10:00;2.235
02.07.2019 10:00;02.07.2019 11:00;2.288
02.07.2019 11:00;02.07.2019 12:00;2.08
02.07.2019 12:00;02.07.2019 13:00;1.482
02.07.2019 13:00;02.07.2019 14:00;1.155
02.07.2019 14:00;02.07.2019 15:00;1.173
02.07.2019 15:00;02.07.2019 16:00;1.6
02.07.2019 16:00;02.07.2019 17:00;2.184
02.07.2019 17:00;02.07.2019 18:00;2.085
02.07.2019 18:00;02.07.2019 19:00;1.134
02.07.2019 19:00;02.07.2019 20:00;1.952
02.07.2019 20:00;02.07.2019 21:00;2.702
02.07.2019 21:00;02.07.2019 22:00;1.509
02.07.2019 22:00;02.07.2019 23:00;1.5
02.07.2019 23:00;03.07.2019 00:00;0.929
03.07.2019 00:00;03.07.2019 01:00;0.854
03.07.2019 01:00;03.07.2019 02:00;0.949
03.07.2019 02:00;03.07.2019 03:00;1.002
03.07.2019 03:00;03.07.2019 04:00;1.361
